tig00000001	NZ_CP038996.1	99.823	102692	174	7	1479979	1582665	1162502	1265190	0.0	1.886e+05
tig00000001	NZ_CP038996.1	99.978	89270	3	8	2686358	2775620	724327	635068	0.0	1.647e+05
tig00000001	NZ_CP038996.1	99.683	78483	202	16	1349885	1428325	1025885	1104362	0.0	1.435e+05
tig00000001	NZ_CP038996.1	99.944	77104	36	7	795955	873055	2618713	2541614	0.0	1.421e+05
tig00000001	NZ_CP038996.1	99.713	76704	205	14	626677	703371	2796178	2719481	0.0	1.404e+05
tig00000001	NZ_CP038996.1	99.993	59110	2	2	1	59108	645784	586675	0.0	1.091e+05
tig00000001	NZ_CP038996.1	99.951	57639	22	6	970977	1028610	2440661	2383024	0.0	1.063e+05
tig00000001	NZ_CP038996.1	99.594	53198	180	24	103572	156741	534496	481307	0.0	97009
tig00000001	NZ_CP038996.1	99.979	51642	10	1	1247552	1299193	914581	966221	0.0	95303
tig00000001	NZ_CP038996.1	99.951	48722	18	6	1628614	1677331	1308552	1357271	0.0	89835
tig00000001	NZ_CP038996.1	99.981	48303	5	4	1752291	1800590	1434062	1482363	0.0	89146
tig00000001	NZ_CP038996.1	99.987	45781	2	4	2506431	2552208	2117276	2163055	0.0	84505
tig00000001	NZ_CP038996.1	99.890	45652	49	1	2640714	2686365	771492	725842	0.0	84025
tig00000001	NZ_CP038996.1	99.982	43372	6	1	1584180	1627549	1265183	1308554	0.0	80047
tig00000001	NZ_CP038996.1	99.634	41841	144	1	1438182	1480013	1119144	1160984	0.0	76409
tig00000001	NZ_CP038996.1	99.727	41013	93	18	546689	587691	92138	51135	0.0	75098
tig00000001	NZ_CP038996.1	99.987	39094	5	0	587583	626676	39094	1	0.0	72166
tig00000001	NZ_CP038996.1	99.536	35598	149	5	1849175	1884770	1532825	1568408	0.0	64809
tig00000001	NZ_CP038996.1	99.884	34503	18	3	2565774	2600275	2177893	2212374	0.0	63474
tig00000001	NZ_CP038996.1	99.968	34255	2	2	59100	93352	585161	550914	0.0	63187
tig00000001	NZ_CP038996.1	99.947	32110	16	1	1677324	1709433	1358775	1390883	0.0	59201
tig00000001	NZ_CP038996.1	99.949	31328	14	2	1197654	1228980	867719	899045	0.0	57762
tig00000001	NZ_CP038996.1	99.984	30841	3	2	2425487	2456326	2031853	2062692	0.0	56924
tig00000001	NZ_CP038996.1	99.457	31320	154	10	1920489	1951801	1605005	1636315	0.0	56881
tig00000001	NZ_CP038996.1	99.013	30996	267	33	1133381	1164360	802192	833164	0.0	55507
tig00000001	NZ_CP038996.1	99.762	30204	66	6	704989	735188	2719482	2689281	0.0	55372
tig00000001	NZ_CP038996.1	99.203	30476	222	3	2312408	2342863	1889654	1920128	0.0	54913
tig00000001	NZ_CP038996.1	99.914	29114	15	3	1034361	1063473	2377273	2348169	0.0	53616
tig00000001	NZ_CP038996.1	99.978	26795	4	2	2398708	2425500	1964801	1991595	0.0	49447
tig00000001	NZ_CP038996.1	99.903	26704	22	4	885636	912336	2530556	2503854	0.0	49166
tig00000001	NZ_CP038996.1	99.925	26517	14	1	922441	948951	2491787	2465271	0.0	48852
tig00000001	NZ_CP038996.1	99.741	26244	66	2	1322132	1348374	999623	1025865	0.0	48086
tig00000001	NZ_CP038996.1	99.963	24559	7	2	1824579	1849136	1506723	1531280	0.0	45301
tig00000001	NZ_CP038996.1	99.181	24309	190	9	424883	449185	206387	182082	0.0	43779
tig00000001	NZ_CP038996.1	99.396	23834	139	4	475207	499035	155773	131940	0.0	43210
tig00000001	NZ_CP038996.1	99.854	22668	29	4	249222	271887	391988	369323	0.0	41674
tig00000001	NZ_CP038996.1	99.467	22899	118	4	2266451	2289348	1843757	1866652	0.0	41607
tig00000001	NZ_CP038996.1	99.987	22478	1	2	1802103	1824578	1482354	1504831	0.0	41491
tig00000001	NZ_CP038996.1	100.000	21538	0	0	735187	756724	2687499	2665962	0.0	39774
tig00000001	NZ_CP038996.1	99.745	20805	44	9	275297	296097	367720	346921	0.0	38117
tig00000001	NZ_CP038996.1	99.444	20321	109	4	1951812	1972129	1636288	1656607	0.0	36897
tig00000001	NZ_CP038996.1	99.355	19391	120	5	508555	527942	121009	101621	0.0	35111
tig00000001	NZ_CP038996.1	99.995	18620	1	0	2487815	2506434	2096769	2115388	0.0	34380
tig00000001	NZ_CP038996.1	97.353	19418	492	4	2291575	2310991	1870260	1889656	0.0	32991
tig00000001	NZ_CP038996.1	99.958	16795	7	0	1064513	1081307	2348177	2331383	0.0	30976
tig00000001	NZ_CP038996.1	99.946	16713	7	2	199972	216683	447093	430382	0.0	30812
tig00000001	NZ_CP038996.1	99.994	16603	1	0	2467769	2484371	2077440	2094042	0.0	30655
tig00000001	NZ_CP038996.1	99.499	15984	63	6	458007	473976	173385	157405	0.0	29058
tig00000001	NZ_CP038996.1	99.944	14378	6	2	2122355	2136730	1707648	1722025	0.0	26506
tig00000001	NZ_CP038996.1	94.783	16600	815	45	311969	328541	330915	314340	0.0	25809
